Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-08-18,20:30,Bayern Munich,2.5,3–1,2.1,Leverkusen,75000,Allianz Arena,Tobias Stieler,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Hoffenheim,1.2,1–0,1.0,Werder Bremen,30150,Dietmar-Hopp-Stadion,Guido Winkmann,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Mainz 05,0.9,0–1,0.7,Hannover 96,28279,Opel Arena,Felix Brych,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Wolfsburg,0.5,0–3,1.1,Dortmund,30000,Volkswagen Arena,Robert Hartmann,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Hamburger SV,0.7,1–0,0.6,Augsburg,49449,Volksparkstadion,Daniel Siebert,Match Report,
Regular Season,1,Sat,2017-08-19,15:30,Hertha BSC,0.7,2–0,1.2,Stuttgart,44751,Olympiastadion Berlin,Sascha Stegemann,Match Report,
Regular Season,1,Sat,2017-08-19,18:30,Schalke 04,1.6,2–0,0.9,RB Leipzig,61435,Veltins-Arena,Felix Zwayer,Match Report,
Regular Season,1,Sun,2017-08-20,15:30,Freiburg,0.2,0–0,1.3,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
Regular Season,1,Sun,2017-08-20,18:00,M'Gladbach,1.5,1–0,1.0,Köln,54018,Stadion im Borussia-Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,,,
Regular Season,2,Fri,2017-08-25,20:30,Köln,2.3,1–3,1.7,Hamburger SV,50000,RheinEnergieSTADION,Felix Brych,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Stuttgart,2.3,1–0,0.9,Mainz 05,53100,Mercedes-Benz Arena,Benjamin Brand,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Eint Frankfurt,1.4,0–1,1.0,Wolfsburg,46000,Commerzbank-Arena,Benjamin Cortus,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Werder Bremen,0.4,0–2,1.8,Bayern Munich,42100,Weserstadion,Bastian Dankert,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Leverkusen,2.6,2–2,0.7,Hoffenheim,27106,BayArena,Harm Osmers,Match Report,
Regular Season,2,Sat,2017-08-26,15:30,Augsburg,3.3,2–2,1.4,M'Gladbach,29243,WWK Arena,Sascha Stegemann,Match Report,
Regular Season,2,Sat,2017-08-26,18:30,Dortmund,2.2,2–0,0.7,Hertha BSC,80860,Signal Iduna Park,Marco Fritz,Match Report,
Regular Season,2,Sun,2017-08-27,15:30,RB Leipzig,3.1,4–1,0.4,Freiburg,39265,Red Bull Arena,Christian Dingert,Match Report,
Regular Season,2,Sun,2017-08-27,18:00,Hannover 96,0.9,1–0,0.4,Schalke 04,49000,HDI-Arena,Patrick Ittrich,Match Report,
,,,,,,,,,,,,,,
Regular Season,3,Fri,2017-09-08,20:30,Hamburger SV,0.9,0–2,2.4,RB Leipzig,50231,Volksparkstadion,Deniz Aytekin,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,M'Gladbach,0.9,0–1,0.4,Eint Frankfurt,51431,Stadion im Borussia-Park,Robert Kampka,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Mainz 05,1.3,3–1,0.9,Leverkusen,24876,Opel Arena,Markus Schmidt,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Wolfsburg,1.4,1–1,1.0,Hannover 96,27321,Volkswagen Arena,Felix Zwayer,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Augsburg,2.0,3–0,0.7,Köln,27510,WWK Arena,Tobias Stieler,Match Report,
Regular Season,3,Sat,2017-09-09,15:30,Freiburg,0.7,0–0,1.6,Dortmund,24000,Schwarzwald-Stadion,Benjamin Cortus,Match Report,
Regular Season,3,Sat,2017-09-09,18:30,Hoffenheim,0.4,2–0,1.8,Bayern Munich,30150,Dietmar-Hopp-Stadion,Daniel Siebert,Match Report,
Regular Season,3,Sun,2017-09-10,15:30,Hertha BSC,0.9,1–1,1.1,Werder Bremen,49118,Olympiastadion Berlin,Bibiana Steinhaus,Match Report,
Regular Season,3,Sun,2017-09-10,18:00,Schalke 04,2.3,3–1,1.3,Stuttgart,61098,Veltins-Arena,Frank Willenborg,Match Report,
,,,,,,,,,,,,,,
Regular Season,4,Fri,2017-09-15,20:30,Hannover 96,1.8,2–0,0.7,Hamburger SV,49000,HDI-Arena,Robert Hartmann,Match Report,
Regular Season,4,Sat,2017-09-16,15:30,Bayern Munich,4.9,4–0,0.7,Mainz 05,75000,Allianz Arena,Sascha Stegemann,Match Report,
Regular Season,4,Sat,2017-09-16,15:30,Werder Bremen,0.9,1–2,0.9,Schalke 04,42100,Weserstadion,Benjamin Brand,Match Report,
Regular Season,4,Sat,2017-09-16,15:30,Stuttgart,0.9,1–0,0.5,Wolfsburg,50500,Mercedes-Benz Arena,Guido Winkmann,Match Report,
Regular Season,4,Sat,2017-09-16,15:30,Eint Frankfurt,1.8,1–2,1.0,Augsburg,46500,Commerzbank-Arena,Christian Dingert,Match Report,
Regular Season,4,Sat,2017-09-16,18:30,RB Leipzig,1.3,2–2,1.7,M'Gladbach,42558,Red Bull Arena,Marco Fritz,Match Report,
Regular Season,4,Sun,2017-09-17,13:30,Hoffenheim,0.7,1–1,0.8,Hertha BSC,27243,Dietmar-Hopp-Stadion,Markus Schmidt,Match Report,
Regular Season,4,Sun,2017-09-17,15:30,Leverkusen,2.7,4–0,0.6,Freiburg,26232,BayArena,Sven Jablonski,Match Report,
Regular Season,4,Sun,2017-09-17,18:00,Dortmund,3.1,5–0,0.5,Köln,81000,Signal Iduna Park,Patrick Ittrich,Match Report,
,,,,,,,,,,,,,,
Regular Season,5,Tue,2017-09-19,18:30,M'Gladbach,1.3,2–0,0.8,Stuttgart,44063,Stadion im Borussia-Park,Sören Storks,Match Report,
Regular Season,5,Tue,2017-09-19,20:30,Schalke 04,1.0,0–3,2.3,Bayern Munich,62271,Veltins-Arena,Marco Fritz,Match Report,
Regular Season,5,Tue,2017-09-19,20:30,Wolfsburg,1.0,1–1,1.5,Werder Bremen,26174,Volkswagen Arena,Felix Brych,Match Report,
Regular Season,5,Tue,2017-09-19,20:30,Augsburg,1.1,1–0,0.9,RB Leipzig,26113,WWK Arena,Daniel Siebert,Match Report,
Regular Season,5,Wed,2017-09-20,18:30,Köln,1.7,0–1,1.7,Eint Frankfurt,49000,RheinEnergieSTADION,Martin Petersen,Match Report,
Regular Season,5,Wed,2017-09-20,20:30,Hamburger SV,0.5,0–3,2.7,Dortmund,52962,Volksparkstadion,Felix Zwayer,Match Report,
Regular Season,5,Wed,2017-09-20,20:30,Hertha BSC,0.8,2–1,0.5,Leverkusen,32825,Olympiastadion Berlin,Deniz Aytekin,Match Report,
Regular Season,5,Wed,2017-09-20,20:30,Freiburg,2.2,1–1,1.5,Hannover 96,22900,Schwarzwald-Stadion,Tobias Stieler,Match Report,
Regular Season,5,Wed,2017-09-20,20:30,Mainz 05,1.3,2–3,1.3,Hoffenheim,23477,Opel Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,,,,
Regular Season,6,Fri,2017-09-22,20:30,Bayern Munich,2.9,2–2,1.0,Wolfsburg,75000,Allianz Arena,Christian Dingert,Match Report,
Regular Season,6,Sat,2017-09-23,15:30,RB Leipzig,2.0,2–1,1.1,Eint Frankfurt,40606,Red Bull Arena,Benjamin Brand,Match Report,
Regular Season,6,Sat,2017-09-23,15:30,Werder Bremen,1.8,0–0,1.3,Freiburg,41000,Weserstadion,Robert Hartmann,Match Report,
Regular Season,6,Sat,2017-09-23,15:30,Hoffenheim,2.0,2–0,1.7,Schalke 04,30150,Dietmar-Hopp-Stadion,Sascha Stegemann,Match Report,
Regular Season,6,Sat,2017-09-23,15:30,Stuttgart,0.7,0–0,0.8,Augsburg,55202,Mercedes-Benz Arena,Harm Osmers,Match Report,
Regular Season,6,Sat,2017-09-23,15:30,Mainz 05,1.1,1–0,0.6,Hertha BSC,23517,Opel Arena,Tobias Stieler,Match Report,
Regular Season,6,Sat,2017-09-23,18:30,Dortmund,2.6,6–1,1.3,M'Gladbach,81360,Signal Iduna Park,Manuel Gräfe,Match Report,
Regular Season,6,Sun,2017-09-24,15:30,Hannover 96,1.3,0–0,1.2,Köln,47000,HDI-Arena,Daniel Siebert,Match Report,
Regular Season,6,Sun,2017-09-24,18:00,Leverkusen,2.4,3–0,0.5,Hamburger SV,27601,BayArena,Robert Kampka,Match Report,
,,,,,,,,,,,,,,
Regular Season,7,Fri,2017-09-29,20:30,Schalke 04,1.2,1–1,1.1,Leverkusen,61515,Veltins-Arena,Guido Winkmann,Match Report,
Regular Season,7,Sat,2017-09-30,15:30,Augsburg,1.8,1–2,2.4,Dortmund,30660,WWK Arena,Marco Fritz,Match Report,
Regular Season,7,Sat,2017-09-30,15:30,M'Gladbach,2.2,2–1,1.4,Hannover 96,50542,Stadion im Borussia-Park,Christian Dingert,Match Report,
Regular Season,7,Sat,2017-09-30,15:30,Eint Frankfurt,1.3,2–1,1.5,Stuttgart,51500,Commerzbank-Arena,Felix Brych,Match Report,
Regular Season,7,Sat,2017-09-30,15:30,Wolfsburg,0.9,1–1,0.9,Mainz 05,24352,Volkswagen Arena,Robert Hartmann,Match Report,
Regular Season,7,Sat,2017-09-30,18:30,Hamburger SV,1.0,0–0,0.5,Werder Bremen,54613,Volksparkstadion,Deniz Aytekin,Match Report,
Regular Season,7,Sun,2017-10-01,13:30,Freiburg,1.1,3–2,1.1,Hoffenheim,24000,Schwarzwald-Stadion,Daniel Siebert,Match Report,
Regular Season,7,Sun,2017-10-01,15:30,Hertha BSC,2.0,2–2,1.8,Bayern Munich,71212,Olympiastadion Berlin,Harm Osmers,Match Report,
Regular Season,7,Sun,2017-10-01,18:00,Köln,1.7,1–2,2.6,RB Leipzig,48700,RheinEnergieSTADION,Felix Zwayer,Match Report,
,,,,,,,,,,,,,,
Regular Season,8,Fri,2017-10-13,20:30,Stuttgart,2.6,2–1,1.7,Köln,58716,Mercedes-Benz Arena,Benjamin Cortus,Match Report,
Regular Season,8,Sat,2017-10-14,15:30,Bayern Munich,2.0,5–0,0.6,Freiburg,75000,Allianz Arena,Frank Willenborg,Match Report,
Regular Season,8,Sat,2017-10-14,15:30,Hannover 96,1.0,1–2,0.8,Eint Frankfurt,43500,HDI-Arena,Bastian Dankert,Match Report,
Regular Season,8,Sat,2017-10-14,15:30,Mainz 05,1.1,3–2,1.6,Hamburger SV,30371,Opel Arena,Felix Brych,Match Report,
Regular Season,8,Sat,2017-10-14,15:30,Hertha BSC,0.3,0–2,1.7,Schalke 04,50590,Olympiastadion Berlin,Benjamin Brand,Match Report,
Regular Season,8,Sat,2017-10-14,15:30,Hoffenheim,1.8,2–2,1.1,Augsburg,27014,Dietmar-Hopp-Stadion,Manuel Gräfe,Match Report,
Regular Season,8,Sat,2017-10-14,18:30,Dortmund,3.1,2–3,2.3,RB Leipzig,80100,Signal Iduna Park,Deniz Aytekin,Match Report,
Regular Season,8,Sun,2017-10-15,15:30,Leverkusen,1.9,2–2,1.5,Wolfsburg,29104,BayArena,Patrick Ittrich,Match Report,
Regular Season,8,Sun,2017-10-15,18:00,Werder Bremen,1.4,0–2,2.1,M'Gladbach,42100,Weserstadion,Markus Schmidt,Match Report,
,,,,,,,,,,,,,,
Regular Season,9,Fri,2017-10-20,20:30,Schalke 04,2.0,2–0,0.5,Mainz 05,59476,Veltins-Arena,Bibiana Steinhaus,Match Report,
Regular Season,9,Sat,2017-10-21,15:30,RB Leipzig,1.0,1–0,0.6,Stuttgart,42558,Red Bull Arena,Sven Jablonski,Match Report,
Regular Season,9,Sat,2017-10-21,15:30,Augsburg,1.4,1–2,1.0,Hannover 96,25971,WWK Arena,Sascha Stegemann,Match Report,
Regular Season,9,Sat,2017-10-21,15:30,M'Gladbach,1.9,1–5,2.4,Leverkusen,53053,Stadion im Borussia-Park,Bastian Dankert,Match Report,
Regular Season,9,Sat,2017-10-21,15:30,Eint Frankfurt,2.4,2–2,2.1,Dortmund,51500,Commerzbank-Arena,Robert Hartmann,Match Report,
Regular Season,9,Sat,2017-10-21,18:30,Hamburger SV,0.2,0–1,2.3,Bayern Munich,57000,Volksparkstadion,Marco Fritz,Match Report,
Regular Season,9,Sun,2017-10-22,13:30,Köln,2.0,0–0,1.0,Werder Bremen,50000,RheinEnergieSTADION,Robert Kampka,Match Report,
Regular Season,9,Sun,2017-10-22,15:30,Freiburg,3.0,1–1,2.0,Hertha BSC,23800,Schwarzwald-Stadion,Guido Winkmann,Match Report,
Regular Season,9,Sun,2017-10-22,18:00,Wolfsburg,1.5,1–1,1.9,Hoffenheim,23514,Volkswagen Arena,Felix Zwayer,Match Report,
,,,,,,,,,,,,,,
Regular Season,10,Fri,2017-10-27,20:30,Mainz 05,0.4,1–1,0.8,Eint Frankfurt,33794,Opel Arena,Sascha Stegemann,Match Report,
Regular Season,10,Sat,2017-10-28,15:30,Hertha BSC,0.9,2–1,0.8,Hamburger SV,52131,Olympiastadion Berlin,Felix Brych,Match Report,
Regular Season,10,Sat,2017-10-28,15:30,Schalke 04,1.5,1–1,1.3,Wolfsburg,60429,Veltins-Arena,Markus Schmidt,Match Report,
Regular Season,10,Sat,2017-10-28,15:30,Hoffenheim,1.0,1–3,1.8,M'Gladbach,30150,Dietmar-Hopp-Stadion,Harm Osmers,Match Report,
Regular Season,10,Sat,2017-10-28,15:30,Hannover 96,2.6,4–2,1.0,Dortmund,49000,HDI-Arena,Patrick Ittrich,Match Report,
Regular Season,10,Sat,2017-10-28,15:30,Leverkusen,1.9,2–1,0.4,Köln,30210,BayArena,Manuel Gräfe,Match Report,
Regular Season,10,Sat,2017-10-28,18:30,Bayern Munich,1.9,2–0,0.2,RB Leipzig,75000,Allianz Arena,Daniel Siebert,Match Report,
Regular Season,10,Sun,2017-10-29,15:30,Werder Bremen,1.1,0–3,2.8,Augsburg,40500,Weserstadion,Sören Storks,Match Report,
Regular Season,10,Sun,2017-10-29,18:00,Stuttgart,1.3,3–0,0.5,Freiburg,58872,Mercedes-Benz Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,,,,
Regular Season,11,Fri,2017-11-03,20:30,Eint Frankfurt,2.1,2–1,1.3,Werder Bremen,51500,Commerzbank-Arena,Benjamin Brand,Match Report,
Regular Season,11,Sat,2017-11-04,15:30,Freiburg,1.2,0–1,0.7,Schalke 04,24000,Schwarzwald-Stadion,Felix Brych,Match Report,
Regular Season,11,Sat,2017-11-04,15:30,RB Leipzig,2.1,2–1,1.0,Hannover 96,40461,Red Bull Arena,Martin Petersen,Match Report,
Regular Season,11,Sat,2017-11-04,15:30,M'Gladbach,0.9,1–1,0.9,Mainz 05,52659,Stadion im Borussia-Park,Sven Jablonski,Match Report,
Regular Season,11,Sat,2017-11-04,15:30,Hamburger SV,1.6,3–1,1.1,Stuttgart,54976,Volksparkstadion,Guido Winkmann,Match Report,
Regular Season,11,Sat,2017-11-04,15:30,Augsburg,1.2,1–1,0.6,Leverkusen,26133,WWK Arena,Christian Dingert,Match Report,
Regular Season,11,Sat,2017-11-04,18:30,Dortmund,3.1,1–3,1.5,Bayern Munich,81360,Signal Iduna Park,Tobias Stieler,Match Report,
Regular Season,11,Sun,2017-11-05,15:30,Köln,1.1,0–3,2.7,Hoffenheim,49200,RheinEnergieSTADION,Deniz Aytekin,Match Report,
Regular Season,11,Sun,2017-11-05,18:00,Wolfsburg,2.4,3–3,1.5,Hertha BSC,25214,Volkswagen Arena,Robert Kampka,Match Report,
,,,,,,,,,,,,,,
Regular Season,12,Fri,2017-11-17,20:30,Stuttgart,2.1,2–1,1.9,Dortmund,58932,Mercedes-Benz Arena,Frank Willenborg,Match Report,
Regular Season,12,Sat,2017-11-18,15:30,Mainz 05,1.7,1–0,0.8,Köln,30473,Opel Arena,Felix Brych,Match Report,
Regular Season,12,Sat,2017-11-18,15:30,Leverkusen,2.2,2–2,2.3,RB Leipzig,29218,BayArena,Harm Osmers,Match Report,
Regular Season,12,Sat,2017-11-18,15:30,Hoffenheim,1.1,1–1,0.8,Eint Frankfurt,30150,Dietmar-Hopp-Stadion,Felix Zwayer,Match Report,
Regular Season,12,Sat,2017-11-18,15:30,Bayern Munich,1.7,3–0,0.5,Augsburg,75000,Allianz Arena,Markus Schmidt,Match Report,
Regular Season,12,Sat,2017-11-18,15:30,Wolfsburg,2.7,3–1,1.0,Freiburg,23744,Volkswagen Arena,Manuel Gräfe,Match Report,
Regular Season,12,Sat,2017-11-18,18:30,Hertha BSC,1.5,2–4,1.4,M'Gladbach,48304,Olympiastadion Berlin,Bastian Dankert,Match Report,
Regular Season,12,Sun,2017-11-19,15:30,Schalke 04,1.9,2–0,1.2,Hamburger SV,62271,Veltins-Arena,Robert Hartmann,Match Report,
Regular Season,12,Sun,2017-11-19,18:00,Werder Bremen,2.8,4–0,1.3,Hannover 96,41500,Weserstadion,Benjamin Cortus,Match Report,
,,,,,,,,,,,,,,
Regular Season,13,Fri,2017-11-24,20:30,Hannover 96,1.6,1–1,1.3,Stuttgart,43500,HDI-Arena,Christian Dingert,Match Report,
Regular Season,13,Sat,2017-11-25,15:30,Freiburg,2.9,2–1,0.9,Mainz 05,24000,Schwarzwald-Stadion,Daniel Siebert,Match Report,
Regular Season,13,Sat,2017-11-25,15:30,Augsburg,2.4,2–1,0.2,Wolfsburg,26541,WWK Arena,Tobias Stieler,Match Report,
Regular Season,13,Sat,2017-11-25,15:30,Eint Frankfurt,0.6,0–1,1.1,Leverkusen,50000,Commerzbank-Arena,Patrick Ittrich,Match Report,
Regular Season,13,Sat,2017-11-25,15:30,RB Leipzig,1.2,2–0,1.0,Werder Bremen,40172,Red Bull Arena,Sascha Stegemann,Match Report,
Regular Season,13,Sat,2017-11-25,15:30,Dortmund,1.8,4–4,1.8,Schalke 04,80179,Signal Iduna Park,Deniz Aytekin,Match Report,
Regular Season,13,Sat,2017-11-25,18:30,M'Gladbach,2.4,2–1,1.9,Bayern Munich,54018,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
Regular Season,13,Sun,2017-11-26,15:30,Hamburger SV,1.7,3–0,1.1,Hoffenheim,46470,Volksparkstadion,Bastian Dankert,Match Report,
Regular Season,13,Sun,2017-11-26,18:00,Köln,1.1,0–2,2.0,Hertha BSC,47800,RheinEnergieSTADION,Bibiana Steinhaus,Match Report,
,,,,,,,,,,,,,,
Regular Season,14,Fri,2017-12-01,20:30,Freiburg,1.3,0–0,0.7,Hamburger SV,24000,Schwarzwald-Stadion,Benjamin Brand,Match Report,
Regular Season,14,Sat,2017-12-02,15:30,Leverkusen,2.0,1–1,0.8,Dortmund,30210,BayArena,Robert Hartmann,Match Report,
Regular Season,14,Sat,2017-12-02,15:30,Werder Bremen,1.1,1–0,1.1,Stuttgart,41500,Weserstadion,Bastian Dankert,Match Report,
Regular Season,14,Sat,2017-12-02,15:30,Hoffenheim,1.4,4–0,0.5,RB Leipzig,28299,Dietmar-Hopp-Stadion,Daniel Siebert,Match Report,
Regular Season,14,Sat,2017-12-02,15:30,Bayern Munich,3.7,3–1,1.2,Hannover 96,75000,Allianz Arena,Guido Winkmann,Match Report,
Regular Season,14,Sat,2017-12-02,15:30,Mainz 05,0.6,1–3,2.1,Augsburg,25037,Opel Arena,Frank Willenborg,Match Report,
Regular Season,14,Sat,2017-12-02,18:30,Schalke 04,2.5,2–2,1.8,Köln,61761,Veltins-Arena,Tobias Stieler,Match Report,
Regular Season,14,Sun,2017-12-03,15:30,Hertha BSC,1.1,1–2,0.5,Eint Frankfurt,38781,Olympiastadion Berlin,Sören Storks,Match Report,
Regular Season,14,Sun,2017-12-03,18:00,Wolfsburg,1.5,3–0,1.1,M'Gladbach,24250,Volkswagen Arena,Benjamin Cortus,Match Report,
,,,,,,,,,,,,,,
Regular Season,15,Fri,2017-12-08,20:30,Stuttgart,0.4,0–2,1.5,Leverkusen,54650,Mercedes-Benz Arena,Deniz Aytekin,Match Report,
Regular Season,15,Sat,2017-12-09,15:30,Hamburger SV,1.3,0–0,0.1,Wolfsburg,45226,Volksparkstadion,Christian Dingert,Match Report,
Regular Season,15,Sat,2017-12-09,15:30,RB Leipzig,1.6,2–2,0.9,Mainz 05,32817,Red Bull Arena,Patrick Ittrich,Match Report,
Regular Season,15,Sat,2017-12-09,15:30,Dortmund,1.9,1–2,1.0,Werder Bremen,81160,Signal Iduna Park,Manuel Gräfe,Match Report,
Regular Season,15,Sat,2017-12-09,15:30,Eint Frankfurt,0.6,0–1,0.3,Bayern Munich,51500,Commerzbank-Arena,Harm Osmers,Match Report,
Regular Season,15,Sat,2017-12-09,18:30,M'Gladbach,1.4,1–1,1.0,Schalke 04,54018,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
Regular Season,15,Sun,2017-12-10,13:30,Köln,1.5,3–4,3.3,Freiburg,45100,RheinEnergieSTADION,Robert Kampka,Match Report,
Regular Season,15,Sun,2017-12-10,15:30,Hannover 96,1.4,2–0,0.8,Hoffenheim,36800,HDI-Arena,Markus Schmidt,Match Report,
Regular Season,15,Sun,2017-12-10,18:00,Augsburg,1.2,1–1,0.6,Hertha BSC,26641,WWK Arena,Martin Petersen,Match Report,
,,,,,,,,,,,,,,
Regular Season,16,Tue,2017-12-12,18:30,Wolfsburg,2.4,1–1,0.5,RB Leipzig,22827,Volkswagen Arena,Guido Winkmann,Match Report,
Regular Season,16,Tue,2017-12-12,20:30,Freiburg,1.7,1–0,0.4,M'Gladbach,23800,Schwarzwald-Stadion,Deniz Aytekin,Match Report,
Regular Season,16,Tue,2017-12-12,20:30,Mainz 05,0.5,0–2,2.0,Dortmund,32976,Opel Arena,Benjamin Brand,Match Report,
Regular Season,16,Tue,2017-12-12,20:30,Hamburger SV,1.7,1–2,1.3,Eint Frankfurt,40983,Volksparkstadion,Manuel Gräfe,Match Report,
Regular Season,16,Wed,2017-12-13,18:30,Hoffenheim,1.4,1–0,0.7,Stuttgart,30150,Dietmar-Hopp-Stadion,Bibiana Steinhaus,Match Report,
Regular Season,16,Wed,2017-12-13,20:30,Schalke 04,3.1,3–2,1.8,Augsburg,59215,Veltins-Arena,Sven Jablonski,Match Report,
Regular Season,16,Wed,2017-12-13,20:30,Leverkusen,2.6,1–0,0.4,Werder Bremen,26620,BayArena,Tobias Stieler,Match Report,
Regular Season,16,Wed,2017-12-13,20:30,Bayern Munich,2.7,1–0,0.3,Köln,75000,Allianz Arena,Daniel Siebert,Match Report,
Regular Season,16,Wed,2017-12-13,20:30,Hertha BSC,2.5,3–1,2.6,Hannover 96,29231,Olympiastadion Berlin,Robert Hartmann,Match Report,
,,,,,,,,,,,,,,
Regular Season,17,Fri,2017-12-15,20:30,M'Gladbach,2.1,3–1,0.8,Hamburger SV,51409,Stadion im Borussia-Park,Markus Schmidt,Match Report,
Regular Season,17,Sat,2017-12-16,15:30,Köln,1.8,1–0,1.2,Wolfsburg,41100,RheinEnergieSTADION,Benjamin Brand,Match Report,
Regular Season,17,Sat,2017-12-16,15:30,Stuttgart,1.2,0–1,2.0,Bayern Munich,58885,Mercedes-Benz Arena,Patrick Ittrich,Match Report,
Regular Season,17,Sat,2017-12-16,15:30,Augsburg,2.5,3–3,1.7,Freiburg,26345,WWK Arena,Christian Dingert,Match Report,
Regular Season,17,Sat,2017-12-16,15:30,Eint Frankfurt,1.6,2–2,1.9,Schalke 04,50600,Commerzbank-Arena,Robert Kampka,Match Report,
Regular Season,17,Sat,2017-12-16,15:30,Werder Bremen,1.3,2–2,1.0,Mainz 05,39000,Weserstadion,Benjamin Cortus,Match Report,
Regular Season,17,Sat,2017-12-16,18:30,Dortmund,3.1,2–1,1.3,Hoffenheim,81000,Signal Iduna Park,Harm Osmers,Match Report,
Regular Season,17,Sun,2017-12-17,15:30,Hannover 96,2.4,4–4,2.5,Leverkusen,32800,HDI-Arena,Sören Storks,Match Report,
